Expenditure on Completed and On-going Works as on Date,,,,,,,,,,
Sr. No.,State,Work,Work ID,IDA,Hon'ble Members of Parliament,Constituency,Expenditure Date,Vendor Name,Payment Status,Fund Disbursed Amount ( ₹ )
108,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/182259,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-2026,Ajay Kumar Singh,Payment In-Progress,19992
109,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/182263,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-2026,Ajay Kumar Singh,Payment In-Progress,19992
110,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/182264,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-2026,Ajay Kumar Singh,Payment In-Progress,19992
111,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/183845,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-2026,Ajay Kumar Singh,Payment In-Progress,19992
112,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184031,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-2026,Ajay Kumar Singh,Payment In-Progress,19992
113,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/187362,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-2026,Ajay Kumar Singh,Payment In-Progress,19992
114,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171626,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-2026,Ajay Kumar Singh,Payment In-Progress,19992
115,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171624,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-2026,Ajay Kumar Singh,Payment In-Progress,19992
116,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171625,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-2026,Ajay Kumar Singh,Payment In-Progress,19992
117,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171728,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-2026,Ajay Kumar Singh,Payment In-Progress,19992
118,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171724,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-2026,Ajay Kumar Singh,Payment In-Progress,19992
119,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171727,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-2026,Ajay Kumar Singh,Payment In-Progress,19992
120,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184334,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-2026,Ajay Kumar Singh,Payment In-Progress,19992
121,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184338,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-2026,Ajay Kumar Singh,Payment In-Progress,19992
122,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/186924,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-2026,Ajay Kumar Singh,Payment In-Progress,19992
123,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/186925,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-2026,Ajay Kumar Singh,Payment In-Progress,19992
124,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/186926,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-2026,Ajay Kumar Singh,Payment In-Progress,19992
125,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/186942,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-2026,Ajay Kumar Singh,Payment In-Progress,19992
126,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/187363,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-2026,Ajay Kumar Singh,Payment In-Progress,19992
127,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/187364,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-2026,Ajay Kumar Singh,Payment In-Progress,19992
128,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/187365,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-2026,Ajay Kumar Singh,Payment In-Progress,19992
129,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/187588,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-2026,Ajay Kumar Singh,Payment In-Progress,19992
130,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/187595,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-2026,Ajay Kumar Singh,Payment In-Progress,19992
131,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171619,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-2026,Ajay Kumar Singh,Payment In-Progress,19992
132,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171622,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-2026,Ajay Kumar Singh,Payment In-Progress,19992
133,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184472,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-2026,Ajay Kumar Singh,Payment In-Progress,19992
134,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184544,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-2026,Ajay Kumar Singh,Payment In-Progress,19992
135,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/186921,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-2026,Ajay Kumar Singh,Payment In-Progress,19992
136,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/186922,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-2026,Ajay Kumar Singh,Payment In-Progress,19992
137,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/186923,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-2026,Ajay Kumar Singh,Payment In-Progress,19992
138,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184339,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-2026,Ajay Kumar Singh,Payment In-Progress,19992
139,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184342,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-2026,Ajay Kumar Singh,Payment In-Progress,19992
140,Punjab,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18156/2025-2026/213063,JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA),CHARANJIT SINGH CHANNI,JALANDHAR(SC),31-Aug-2026,SHRI GURU NANAK INTERLOCKING CEMENT TILE,Payment In-Progress,149110
141,West Bengal,Construction of stadiums,WS/MP18272/2026-2027/222318,Paschim Medinipur(DISTRICT MAGISTRATE PASCHIM MEDINIPUR_IDA),KALIPADA SAREN,JHARGRAM(ST),17-Aug-2026,RAJAT SUBHRA MANDAL,Payment In-Progress,4881631
142,Andhra Pradesh,Construction of veterinary hospitals and dispensaries,WS/MP18007/2024-2025/140066,Kakinada(DISTRICT COLLECTOR KAKINADA_IDA),Putta Mahesh Kumar,ELURU,27-Aug-2026,VIJAYA VIKRAM CONSTRUCTIONS,Payment In-Progress,1097173
143,Jharkhand,Construction of community centers and community halls,WS/MP18072/2026-2027/261891,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,31-Aug-2026,BIRENDRA KUMAR MAHATO,Payment In-Progress,375000
144,Jharkhand,Construction of footpaths and pedestrian ways,WS/MP18072/2026-2027/277323,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,31-Aug-2026,BIRENDRA KUMAR MAHATO,Payment In-Progress,190000
145,Jharkhand,Construction of common work sheds/ common covered sitting area,WS/MP18072/2026-2027/277325,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,31-Aug-2026,BIRENDRA KUMAR MAHATO,Payment In-Progress,175000
146,Jharkhand,Construction of common work sheds/ common covered sitting area,WS/MP18072/2026-2027/277324,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,31-Aug-2026,BIRENDRA KUMAR MAHATO,Payment In-Progress,225000
147,Jharkhand,Construction of footpaths and pedestrian ways,WS/MP18072/2026-2027/276178,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,31-Aug-2026,BIRENDRA KUMAR MAHATO,Payment In-Progress,85000
148,Jharkhand,Construction of community centers and community halls,WS/MP18072/2026-2027/276176,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,31-Aug-2026,BIRENDRA KUMAR MAHATO,Payment In-Progress,375000
149,Jharkhand,Construction of public staircase/ stair ghat for public convenience,WS/MP18072/2026-2027/273079,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,31-Aug-2026,BIRENDRA KUMAR MAHATO,Payment In-Progress,165000
150,Jharkhand,Construction of public staircase/ stair ghat for public convenience,WS/MP18072/2026-2027/273080,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,31-Aug-2026,BIRENDRA KUMAR MAHATO,Payment In-Progress,165000
151,Jharkhand,Construction of common work sheds/ common covered sitting area,WS/MP18072/2026-2027/292874,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,02-Sep-2026,BIRENDRA KUMAR MAHATO,Payment In-Progress,175000
152,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18072/2026-2027/283710,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,02-Sep-2026,BIRENDRA KUMAR MAHATO,Payment In-Progress,200000
153,Jharkhand,Construction of public staircase/ stair ghat for public convenience,WS/MP18072/2026-2027/292834,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,02-Sep-2026,BIRENDRA KUMAR MAHATO,Payment In-Progress,125000
154,Jharkhand,Construction of common work sheds/ common covered sitting area,WS/MP18072/2026-2027/292869,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,02-Sep-2026,BIRENDRA KUMAR MAHATO,Payment In-Progress,175000
155,Jharkhand,Construction of footpaths and pedestrian ways,WS/MP18072/2026-2027/292870,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,02-Sep-2026,BIRENDRA KUMAR MAHATO,Payment In-Progress,175000
156,Jharkhand,Construction of common work sheds/ common covered sitting area,WS/MP18072/2026-2027/292835,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,02-Sep-2026,BIRENDRA KUMAR MAHATO,Payment In-Progress,175000
157,Jharkhand,Construction of public staircase/ stair ghat for public convenience,WS/MP18072/2026-2027/292871,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,02-Sep-2026,BIRENDRA KUMAR MAHATO,Payment In-Progress,150000
158,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18072/2026-2027/292872,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,02-Sep-2026,BIRENDRA KUMAR MAHATO,Payment In-Progress,100000
159,Jharkhand,Providing drains and gutters for public drainage,WS/MP18072/2026-2027/292873,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,02-Sep-2026,BIRENDRA KUMAR MAHATO,Payment In-Progress,75000
160,Jharkhand,Construction of common work sheds/ common covered sitting area,WS/MP18072/2026-2027/273084,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,02-Sep-2026,BIRENDRA KUMAR MAHATO,Payment In-Progress,225000
161,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18072/2026-2027/291953,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,02-Sep-2026,BIRENDRA KUMAR MAHATO,Payment In-Progress,200000
162,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18072/2026-2027/291945,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,02-Sep-2026,BIRENDRA KUMAR MAHATO,Payment In-Progress,150000
163,Jharkhand,Construction of public staircase/ stair ghat for public convenience,WS/MP18072/2026-2027/292830,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,02-Sep-2026,BIRENDRA KUMAR MAHATO,Payment In-Progress,125000
164,Jharkhand,Providing supply pipelines for drinking water,WS/MP18072/2026-2027/296342,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,02-Sep-2026,BIRENDRA KUMAR MAHATO,Payment In-Progress,200000
165,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18072/2026-2027/292829,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,02-Sep-2026,BIRENDRA KUMAR MAHATO,Payment In-Progress,200000
166,Jharkhand,Construction of footpaths and pedestrian ways,WS/MP18072/2026-2027/291946,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,02-Sep-2026,BIRENDRA KUMAR MAHATO,Payment In-Progress,140000
167,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18072/2026-2027/292866,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,02-Sep-2026,BIRENDRA KUMAR MAHATO,Payment In-Progress,150000
168,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18072/2026-2027/292867,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,02-Sep-2026,BIRENDRA KUMAR MAHATO,Payment In-Progress,150000
169,Punjab,Purchase of mobile water tankers,WS/MP18311/2026-2027/287163,S.A.S Nagar(DEPUTY COMMISSIONER SAHIBZADA AJIT SINGH NAGAR MOHALI_IDA),MALVINDER SINGH KANG,ANANDPUR SAHIB,10-Aug-2026,DASHMESH ENGG WORKS,Payment In-Progress,350000
170,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP334/2026-2027/301233,BOKARO(DEPUTY COMMISSIONER BOKARO_IDA),Shri Chandra Prakash Choudhary,GIRIDIH,02-Sep-2026,JUNIOR ENGINEER RDSD BOKARO,Payment In-Progress,857475
171,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP334/2026-2027/304439,BOKARO(DEPUTY COMMISSIONER BOKARO_IDA),Shri Chandra Prakash Choudhary,GIRIDIH,02-Sep-2026,JUNIOR ENGINEER RDSD BOKARO,Payment In-Progress,782100
172,Jharkhand,Construction of common work sheds/ common covered sitting area,WS/MP334/2026-2027/223475,BOKARO(DEPUTY COMMISSIONER BOKARO_IDA),Shri Chandra Prakash Choudhary,GIRIDIH,02-Sep-2026,JUNIOR ENGINEER RDSD BOKARO,Payment In-Progress,304575
173,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP334/2026-2027/223482,BOKARO(DEPUTY COMMISSIONER BOKARO_IDA),Shri Chandra Prakash Choudhary,GIRIDIH,02-Sep-2026,JUNIOR ENGINEER RDSD BOKARO,Payment In-Progress,375000
174,Gujarat,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18324/2025-2026/151103,AMRELI(DISTRICT COLLECTOR AMRELI_IDA),BHARATBHAI MANUBHAI SUTARIYA,AMRELI,02-Sep-2026,HADIDA GRAM PANCHAYAT,Payment In-Progress,300000
175,Uttar Pradesh,Lighting of public spaces,WS/MP18239/2025-2026/214638,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),ZIA UR REHMAN,SAMBHAL,20-Aug-2026,R G SUPLLIER,Payment In-Progress,36159
176,Uttar Pradesh,Lighting of public spaces,WS/MP18239/2025-2026/214639,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),ZIA UR REHMAN,SAMBHAL,20-Aug-2026,R G SUPLLIER,Payment In-Progress,36159
177,Uttar Pradesh,Lighting of public spaces,WS/MP18239/2025-2026/214637,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),ZIA UR REHMAN,SAMBHAL,20-Aug-2026,R G SUPLLIER,Payment In-Progress,36159
178,Uttar Pradesh,Lighting of public spaces,WS/MP18239/2025-2026/214776,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),ZIA UR REHMAN,SAMBHAL,20-Aug-2026,R G SUPLLIER,Payment In-Progress,36159
179,Uttar Pradesh,Lighting of public spaces,WS/MP18239/2025-2026/214774,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),ZIA UR REHMAN,SAMBHAL,20-Aug-2026,R G SUPLLIER,Payment In-Progress,36159
180,Uttar Pradesh,Lighting of public spaces,WS/MP18239/2025-2026/214778,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),ZIA UR REHMAN,SAMBHAL,20-Aug-2026,R G SUPLLIER,Payment In-Progress,36159
181,Uttar Pradesh,Lighting of public spaces,WS/MP18239/2025-2026/214772,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),ZIA UR REHMAN,SAMBHAL,20-Aug-2026,R G SUPLLIER,Payment In-Progress,36159
182,Uttar Pradesh,Lighting of public spaces,WS/MP18239/2025-2026/214771,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),ZIA UR REHMAN,SAMBHAL,20-Aug-2026,R G SUPLLIER,Payment In-Progress,36159
183,Uttar Pradesh,Lighting of public spaces,WS/MP18239/2025-2026/214768,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),ZIA UR REHMAN,SAMBHAL,20-Aug-2026,R G SUPLLIER,Payment In-Progress,36159
184,Uttar Pradesh,Lighting of public spaces,WS/MP18239/2025-2026/214761,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),ZIA UR REHMAN,SAMBHAL,20-Aug-2026,R G SUPLLIER,Payment In-Progress,36159
185,Uttar Pradesh,Lighting of public spaces,WS/MP18239/2025-2026/214753,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),ZIA UR REHMAN,SAMBHAL,20-Aug-2026,R G SUPLLIER,Payment In-Progress,36159
186,Uttar Pradesh,Lighting of public spaces,WS/MP18239/2025-2026/214742,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),ZIA UR REHMAN,SAMBHAL,20-Aug-2026,R G SUPLLIER,Payment In-Progress,36159
187,Uttar Pradesh,Lighting of public spaces,WS/MP18239/2025-2026/214643,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),ZIA UR REHMAN,SAMBHAL,20-Aug-2026,R G SUPLLIER,Payment In-Progress,36159
188,Uttar Pradesh,Lighting of public spaces,WS/MP18239/2025-2026/214767,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),ZIA UR REHMAN,SAMBHAL,20-Aug-2026,R G SUPLLIER,Payment In-Progress,36159
189,Uttar Pradesh,Lighting of public spaces,WS/MP18239/2025-2026/214751,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),ZIA UR REHMAN,SAMBHAL,20-Aug-2026,R G SUPLLIER,Payment In-Progress,36159
190,Madhya Pradesh,Construction of common work sheds/ common covered sitting area,WS/MP653/2025-2026/271170,DEWAS(DISTRICT COLLECTOR DEWAS_IDA),Mahendra Singh Solanky,DEWAS(SC),01-Sep-2026,CEO Janpad Panchayat Dewas,Payment In-Progress,600000
191,Jharkhand,Construction of public staircase/ stair ghat for public convenience,WS/MP18072/2026-2027/290326,BOKARO(DEPUTY COMMISSIONER BOKARO_IDA),DULU MAHATO,DHANBAD,02-Sep-2026,Mukesh Mahato,Payment In-Progress,243750
192,Jharkhand,Installing tube-wells and borewells,WS/MP18072/2026-2027/292199,BOKARO(DEPUTY COMMISSIONER BOKARO_IDA),DULU MAHATO,DHANBAD,02-Sep-2026,Mukesh Mahato,Payment In-Progress,243750
193,Jharkhand,Installing tube-wells and borewells,WS/MP18072/2026-2027/292200,BOKARO(DEPUTY COMMISSIONER BOKARO_IDA),DULU MAHATO,DHANBAD,02-Sep-2026,Mukesh Mahato,Payment In-Progress,243750
194,Jharkhand,Construction of footpaths and pedestrian ways,WS/MP18072/2026-2027/290323,BOKARO(DEPUTY COMMISSIONER BOKARO_IDA),DULU MAHATO,DHANBAD,02-Sep-2026,Mukesh Mahato,Payment In-Progress,219000
195,Karnataka,Construction of community centers and community halls,WS/MP18093/2026-2027/228510,TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA),V. SOMANNA,TUMKUR,02-Jul-2026,KRIDL BHUSIRI ACCOUNT WORKS,Payment In-Progress,750000
196,Jharkhand,Construction of public staircase/ stair ghat for public convenience,WS/MP18072/2026-2027/273078,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,31-Aug-2026,BIRENDRA KUMAR MAHATO,Payment In-Progress,165000
197,Jharkhand,Construction of footpaths and pedestrian ways,WS/MP18072/2026-2027/283708,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,31-Aug-2026,BIRENDRA KUMAR MAHATO,Payment In-Progress,140000
198,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18072/2026-2027/277322,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,31-Aug-2026,BIRENDRA KUMAR MAHATO,Payment In-Progress,150000
199,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18072/2026-2027/275551,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,31-Aug-2026,BIRENDRA KUMAR MAHATO,Payment In-Progress,200000
200,Jharkhand,Providing drains and gutters for public drainage,WS/MP18072/2026-2027/276179,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,31-Aug-2026,BIRENDRA KUMAR MAHATO,Payment In-Progress,125000
201,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP856/2025-2026/231387,LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA),Rajnath Singh,LUCKNOW,08-Aug-2026,MRK CONSTRUCTIONS,Payment In-Progress,133800
202,Punjab,Construction of additional rooms and halls in the existing public and community building,WS/MP18314/2025-2026/256967,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,26-Aug-2026,Sidhu Cement Store Fatehgarh Channa,Payment In-Progress,44630
203,Punjab,Construction of additional rooms and halls in the existing public and community building,WS/MP18314/2025-2026/256967,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,26-Aug-2026,Sidhu Cement Store Fatehgarh Channa,Payment In-Progress,17920
204,Punjab,Construction of rooms and halls in school and colleges,WS/MP381/2026-2027/275258,AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),Shri Gurjeet Singh Aujla,AMRITSAR,25-Aug-2026,SURINDER TRADERS,Payment In-Progress,498148
205,Punjab,Construction of rooms and halls in school and colleges,WS/MP381/2026-2027/275251,AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),Shri Gurjeet Singh Aujla,AMRITSAR,25-Aug-2026,SURINDER TRADERS,Payment In-Progress,495474
206,Punjab,Construction of additional rooms and halls in the existing public and community building,WS/MP18314/2025-2026/256967,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,26-Aug-2026,Dhanaula BKO,Payment In-Progress,6560
207,Odisha,Construction of public libraries and reading rooms,WS/MP300/2025-2026/157040,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),Smt Aparajita Sarangi,BHUBANESWAR,30-Aug-2026,MEMBER SECY OB AND OC WWB BBSR,Payment In-Progress,5000
208,Punjab,Purchase of mobile water tankers,WS/MP18311/2026-2027/280988,RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA),MALVINDER SINGH KANG,ANANDPUR SAHIB,28-Aug-2026,DASHMESH ENGG WORKS,Payment In-Progress,350000
209,Bihar,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP417/2025-2026/215032,NALANDA(DISTRICT PLANNING OFFICER NALANDA_IDA),Kaushalendra Kumar,NALANDA,29-Aug-2026,ADARSH KUMAR,Payment In-Progress,296919
210,Tamil Nadu,Lighting of public spaces,WS/MP18265/2026-2027/171228,CUDDALORE(DISTRICT COLLECTOR CUDDALORE_IDA),M.K. VISHNUPRASAD,CUDDALORE,31-Aug-2026,SRI SAI ENTERPRISES,Payment In-Progress,449130
211,Bihar,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP417/2025-2026/222071,NALANDA(DISTRICT PLANNING OFFICER NALANDA_IDA),Kaushalendra Kumar,NALANDA,27-Aug-2026,simpi,Payment In-Progress,395705
212,Karnataka,Development of public parks,WS/MP18078/2026-2027/254911,BALLARI(DEPUTY COMMISSIONER BELLARY_IDA),E. TUKARAM,BELLARY(ST),02-Sep-2026,Bellary Nirmithi Kendra Bellary,Payment In-Progress,750000
